# generated by pcapConverter.py
# https://github.com/uhi22/pyPLC
[1970-01-01 01:00:56.465636] EVSEPresentVoltage=356.3
[1970-01-01 01:00:56.465636] EVSEPresentCurrent=29.830000000000002
[1970-01-01 01:00:56.545641] EVTargetVoltage=412.8
[1970-01-01 01:00:56.545641] EVTargetCurrent=34.0
[1970-01-01 01:00:56.545641] EVRESSSOC=58
[1970-01-01 01:00:56.555636] EVSEPresentVoltage=356.40000000000003
[1970-01-01 01:00:56.555636] EVSEPresentCurrent=30.965
[1970-01-01 01:00:56.635641] EVTargetVoltage=412.8
[1970-01-01 01:00:56.635641] EVTargetCurrent=35.0
[1970-01-01 01:00:56.635641] EVRESSSOC=58
[1970-01-01 01:00:56.645636] EVSEPresentVoltage=356.5
[1970-01-01 01:00:56.645636] EVSEPresentCurrent=32.076
[1970-01-01 01:00:56.725641] EVTargetVoltage=412.8
[1970-01-01 01:00:56.725641] EVTargetCurrent=36.0
[1970-01-01 01:00:56.725641] EVRESSSOC=58
[1970-01-01 01:00:56.735635] EVSEPresentVoltage=356.5
[1970-01-01 01:00:56.735635] EVSEPresentCurrent=33.21
[1970-01-01 01:00:56.815641] EVTargetVoltage=412.8
[1970-01-01 01:00:56.815641] EVTargetCurrent=37.0
[1970-01-01 01:00:56.815641] EVRESSSOC=58
[1970-01-01 01:00:56.825635] EVSEPresentVoltage=356.6
[1970-01-01 01:00:56.825635] EVSEPresentCurrent=33.85
[1970-01-01 01:00:56.905648] EVTargetVoltage=412.8
[1970-01-01 01:00:56.905648] EVTargetCurrent=38.0
[1970-01-01 01:00:56.905648] EVRESSSOC=58
[1970-01-01 01:00:56.915635] EVSEPresentVoltage=356.70000000000005
[1970-01-01 01:00:56.915635] EVSEPresentCurrent=34.93
[1970-01-01 01:00:56.995641] EVTargetVoltage=412.8
[1970-01-01 01:00:56.995641] EVTargetCurrent=38.0
[1970-01-01 01:00:56.995641] EVRESSSOC=58
[1970-01-01 01:00:57.005642] EVSEPresentVoltage=356.70000000000005
[1970-01-01 01:00:57.005642] EVSEPresentCurrent=36.07
[1970-01-01 01:00:57.085674] EVTargetVoltage=412.8
[1970-01-01 01:00:57.085674] EVTargetCurrent=39.0
[1970-01-01 01:00:57.085674] EVRESSSOC=58
[1970-01-01 01:00:57.095635] EVSEPresentVoltage=356.8
[1970-01-01 01:00:57.095635] EVSEPresentCurrent=36.980000000000004
[1970-01-01 01:00:57.175641] EVTargetVoltage=412.8
[1970-01-01 01:00:57.175641] EVTargetCurrent=40.0
[1970-01-01 01:00:57.175641] EVRESSSOC=58
[1970-01-01 01:00:57.185668] EVSEPresentVoltage=356.8
[1970-01-01 01:00:57.185668] EVSEPresentCurrent=37.54
[1970-01-01 01:00:57.265641] EVTargetVoltage=412.8
[1970-01-01 01:00:57.265641] EVTargetCurrent=41.0
[1970-01-01 01:00:57.265641] EVRESSSOC=58
