name,type,start_time,"mosi","miso"
"SPI","result",7.59540742,0x00,0x00
"SPI","result",7.59540804,0x00,0x00
"SPI","disable",7.59540892,,
"SPI","enable",7.59541548,,
"SPI","result",7.59541574,0xC2,0x00
"SPI","result",7.59541638,0x00,0x00
"SPI","result",7.5954175,0x00,0x00
"SPI","result",7.59541812,0x00,0x00
"SPI","disable",7.595419,,
"SPI","enable",7.5954206,,
"SPI","result",7.59542088,0xC2,0x00
"SPI","result",7.5954215,0x00,0x00
"SPI","result",7.59542262,0x00,0x00
"SPI","result",7.59542324,0x00,0x00
"SPI","disable",7.59542412,,
"SPI","enable",7.59542572,,
"SPI","result",7.595426,0xC2,0x00
"SPI","result",7.59542662,0x00,0x00
"SPI","result",7.59542774,0x00,0x00
"SPI","result",7.59542836,0x00,0x00
"SPI","disable",7.59542924,,
"SPI","enable",8.4356747,,
"SPI","result",8.43567496,0xDA,0x3F
"SPI","result",8.43567558,0x00,0xFF
"SPI","result",8.4356767,0x00,0xFF
"SPI","result",8.43567734,0x00,0xFF
"SPI","disable",8.4356782,,
"SPI","enable",8.43567964,,
"SPI","result",8.4356799,0xCD,0xE1
"SPI","result",8.43568052,0x00,0xE1
"SPI","result",8.43568164,0x00,0x00
"SPI","result",8.43568226,0x00,0x40
"SPI","disable",8.43568314,,
"SPI","enable",8.43568384,,
"SPI","result",8.4356841,0x4D,0x40
"SPI","result",8.43568472,0x00,0x40
"SPI","result",8.43568584,0x00,0x40
"SPI","result",8.43568646,0x00,0x40
"SPI","disable",8.43568734,,
"SPI","enable",8.43568826,,
"SPI","result",8.43568852,0xCC,0x40
"SPI","result",8.43568914,0x00,0x40
"SPI","result",8.43569028,0x00,0x04
"SPI","result",8.4356909,0x00,0x40
"SPI","disable",8.43569176,,
"SPI","enable",8.43569316,,
"SPI","result",8.43569342,0xDA,0x40
"SPI","result",8.43569406,0x00,0x40
"SPI","result",8.43569518,0x00,0xAA
"SPI","result",8.4356958,0x00,0x55
"SPI","disable",8.43569668,,
"SPI","enable",8.43569732,,
"SPI","result",8.43569758,0xDA,0x55
"SPI","result",8.4356982,0x00,0x55
"SPI","result",8.43569934,0x00,0xAA
"SPI","result",8.43569996,0x00,0x55
"SPI","disable",8.43570084,,
"SPI","enable",8.4357015,,
"SPI","result",8.43570178,0xC2,0x55
"SPI","result",8.4357024,0x00,0x55
"SPI","result",8.43570352,0x00,0x0C
"SPI","result",8.43570414,0x00,0x5B
"SPI","disable",8.43570502,,
"SPI","enable",8.43570642,,
"SPI","result",8.4357067,0x4C,0x5B
"SPI","result",8.43570732,0x00,0x5B
"SPI","result",8.43570842,0x04,0x5B
"SPI","result",8.43570906,0x40,0x5B
"SPI","disable",8.43570992,,
"SPI","enable",8.43571096,,
"SPI","result",8.43571122,0xCD,0x5B
"SPI","result",8.43571184,0x00,0x5B
"SPI","result",8.43571298,0x00,0x00
"SPI","result",8.4357136,0x00,0x00
"SPI","disable",8.43571448,,
"SPI","enable",8.43571518,,
"SPI","result",8.43571544,0x4D,0x00
"SPI","result",8.43571606,0x00,0x00
"SPI","result",8.43571718,0x00,0x00
"SPI","result",8.4357178,0x47,0x00
"SPI","disable",8.43571868,,
"SPI","enable",8.48568958,,
"SPI","result",8.48568986,0xC2,0x00
"SPI","result",8.48569048,0x00,0x00
"SPI","result",8.4856916,0x00,0x0C
"SPI","result",8.48569222,0x00,0x5B
"SPI","disable",8.4856931,,
"SPI","enable",8.48569966,,
"SPI","result",8.48569992,0xC2,0x5B
"SPI","result",8.48570056,0x00,0x5B
"SPI","result",8.48570168,0x00,0x0C
"SPI","result",8.4857023,0x00,0x5B
"SPI","disable",8.48570318,,
"SPI","enable",8.48570434,,
"SPI","result",8.48570462,0x41,0x5B
"SPI","result",8.48570524,0x00,0x5B
"SPI","result",8.48570634,0x00,0x5B
"SPI","result",8.48570698,0x58,0x5B
"SPI","disable",8.48570784,,
"SPI","enable",8.48570878,,
"SPI","result",8.48570906,0x00,0x5B
"SPI","result",8.4857097,0x00,0x5B
"SPI","result",8.48571116,0xAA,0x5B
"SPI","result",8.48571178,0xAA,0x5B
"SPI","result",8.48571328,0xAA,0x5B
"SPI","result",8.4857139,0xAA,0x5B
"SPI","result",8.48571538,0x4E,0x5B
"SPI","result",8.485716,0x00,0x5B
"SPI","result",8.48571748,0x00,0x5B
"SPI","result",8.48571812,0x00,0x5B
"SPI","result",8.4857196,0x33,0x5B
"SPI","result",8.48572022,0x33,0x5B
"SPI","result",8.4857217,0xFF,0x5B
"SPI","result",8.48572234,0xFF,0x5B
"SPI","result",8.48572382,0xD3,0x5B
"SPI","result",8.48572444,0xE2,0x5B
"SPI","result",8.48572592,0xE0,0x5B
"SPI","result",8.48572656,0x0E,0x5B
"SPI","result",8.48572804,0xE1,0x5B
"SPI","result",8.48572866,0xFF,0x5B
"SPI","result",8.48573014,0xD3,0x5B
"SPI","result",8.48573076,0xE2,0x5B
"SPI","result",8.48573226,0x86,0x5B
"SPI","result",8.48573288,0xDD,0x5B
"SPI","result",8.48573436,0x60,0x5B
"SPI","result",8.48573498,0x00,0x5B
"SPI","result",8.48573648,0x00,0x5B
"SPI","result",8.4857371,0x00,0x5B
"SPI","result",8.48573858,0x00,0x5B
"SPI","result",8.4857392,0x18,0x5B
"SPI","result",8.4857407,0x3A,0x5B
"SPI","result",8.48574132,0xFF,0x5B
"SPI","result",8.4857428,0x00,0x5B
"SPI","result",8.48574342,0x00,0x5B
"SPI","result",8.48574492,0x00,0x5B
"SPI","result",8.48574554,0x00,0x5B
"SPI","result",8.48574702,0x00,0x5B
"SPI","result",8.48574764,0x00,0x5B
"SPI","result",8.48574912,0x00,0x5B
"SPI","result",8.48574976,0x00,0x5B
"SPI","result",8.48575124,0x00,0x5B
"SPI","result",8.48575186,0x00,0x5B
"SPI","result",8.48575334,0x00,0x5B
"SPI","result",8.48575398,0x00,0x5B
"SPI","result",8.48575546,0x00,0x5B
"SPI","result",8.48575608,0x00,0x5B
"SPI","result",8.48575756,0x00,0x5B
"SPI","result",8.4857582,0x00,0x5B
"SPI","result",8.48575968,0xFF,0x5B
"SPI","result",8.4857603,0x02,0x5B
"SPI","result",8.48576178,0x00,0x5B
"SPI","result",8.48576242,0x00,0x5B
"SPI","result",8.4857639,0x00,0x5B
"SPI","result",8.48576452,0x00,0x5B
"SPI","result",8.485766,0x00,0x5B
"SPI","result",8.48576662,0x00,0x5B
"SPI","result",8.48576812,0x00,0x5B
"SPI","result",8.48576874,0x00,0x5B
"SPI","result",8.48577022,0x00,0x5B
"SPI","result",8.48577084,0x01,0x5B
"SPI","result",8.48577234,0xFF,0x5B
"SPI","result",8.48577296,0xFF,0x5B
"SPI","result",8.48577444,0xD3,0x5B
"SPI","result",8.48577506,0xE2,0x5B
"SPI","result",8.48577656,0x87,0x5B
"SPI","result",8.48577718,0x00,0x5B
"SPI","result",8.48577866,0x10,0x5B
"SPI","result",8.48577928,0x54,0x5B
"SPI","result",8.48578078,0x00,0x5B
"SPI","result",8.4857814,0x00,0x5B
"SPI","result",8.48578288,0x00,0x5B
"SPI","result",8.4857835,0x00,0x5B
"SPI","result",8.48578498,0xFE,0x5B
"SPI","result",8.48578562,0x80,0x5B
"SPI","result",8.4857871,0x00,0x5B
"SPI","result",8.48578772,0x00,0x5B
"SPI","result",8.4857892,0x00,0x5B
"SPI","result",8.48578984,0x00,0x5B
"SPI","result",8.48579132,0x00,0x5B
"SPI","result",8.48579194,0x00,0x5B
"SPI","result",8.48579342,0xE2,0x5B
"SPI","result",8.48579406,0x0E,0x5B
"SPI","result",8.48579554,0xE1,0x5B
"SPI","result",8.48579616,0xFF,0x5B
"SPI","result",8.48579764,0xFE,0x5B
"SPI","result",8.48579826,0xFF,0x5B
"SPI","result",8.48579976,0xD3,0x5B
"SPI","result",8.48580038,0xE2,0x5B
"SPI","result",8.48580186,0x55,0x5B
"SPI","result",8.48580248,0x55,0x5B
"SPI","result",8.48580398,0x00,0x00
"SPI","result",8.4858046,0x00,0x00
"SPI","disable",8.4858057,,
"SPI","enable",9.48565572,,
"SPI","result",9.48565598,0xC2,0x5B
"SPI","result",9.48565662,0x00,0x5B
"SPI","result",9.48565774,0x00,0x0C
"SPI","result",9.48565836,0x00,0x5B
"SPI","disable",9.48565924,,
"SPI","enable",9.4856658,,
"SPI","result",9.48566606,0xC2,0x5B
"SPI","result",9.48566668,0x00,0x5B
"SPI","result",9.48566782,0x00,0x0C
"SPI","result",9.48566844,0x00,0x5B
"SPI","disable",9.48566932,,
"SPI","enable",9.48567048,,
"SPI","result",9.48567076,0x41,0x5B
"SPI","result",9.48567138,0x00,0x5B
"SPI","result",9.48567248,0x00,0x5B
"SPI","result",9.4856731,0x58,0x5B
"SPI","disable",9.48567398,,
"SPI","enable",9.4856749,,
"SPI","result",9.4856752,0x00,0x5B
"SPI","result",9.48567582,0x00,0x5B
"SPI","result",9.4856773,0xAA,0x5B
"SPI","result",9.48567792,0xAA,0x5B
"SPI","result",9.4856794,0xAA,0x5B
"SPI","result",9.48568004,0xAA,0x5B
"SPI","result",9.48568152,0x4E,0x5B
"SPI","result",9.48568214,0x00,0x5B
"SPI","result",9.48568362,0x00,0x5B
"SPI","result",9.48568424,0x00,0x5B
"SPI","result",9.48568574,0x33,0x5B
"SPI","result",9.48568636,0x33,0x5B
"SPI","result",9.48568784,0xFF,0x5B
"SPI","result",9.48568846,0xFF,0x5B
"SPI","result",9.48568996,0xD3,0x5B
"SPI","result",9.48569058,0xE2,0x5B
"SPI","result",9.48569206,0xE0,0x5B
"SPI","result",9.48569268,0x0E,0x5B
"SPI","result",9.48569418,0xE1,0x5B
"SPI","result",9.4856948,0xFF,0x5B
"SPI","result",9.48569628,0xD3,0x5B
"SPI","result",9.4856969,0xE2,0x5B
"SPI","result",9.4856984,0x86,0x5B
"SPI","result",9.48569902,0xDD,0x5B
"SPI","result",9.4857005,0x60,0x5B
"SPI","result",9.48570112,0x00,0x5B
"SPI","result",9.4857026,0x00,0x5B
"SPI","result",9.48570324,0x00,0x5B
"SPI","result",9.48570472,0x00,0x5B
"SPI","result",9.48570534,0x18,0x5B
"SPI","result",9.48570682,0x3A,0x5B
"SPI","result",9.48570746,0xFF,0x5B
"SPI","result",9.48570894,0x00,0x5B
"SPI","result",9.48570956,0x00,0x5B
"SPI","result",9.48571104,0x00,0x5B
