name,type,start_time,"mosi","miso"
"SPI","result",3.6889513,0x00,0xE1
"SPI","result",3.68895243,0x00,0x00
"SPI","result",3.68895305,0x00,0x40
"SPI","result",3.68895487,0x4D,0x40
"SPI","result",3.6889555,0x00,0x40
"SPI","result",3.6889566,0x00,0x40
"SPI","result",3.68895722,0x00,0x40
"SPI","result",3.6889593,0xCC,0x40
"SPI","result",3.68895992,0x00,0x40
"SPI","result",3.68896105,0x00,0x04
"SPI","result",3.68896167,0x00,0x40
"SPI","result",3.6889642,0xDA,0x40
"SPI","result",3.68896482,0x00,0x40
"SPI","result",3.68896595,0x00,0xAA
"SPI","result",3.68896657,0x00,0x55
"SPI","result",3.68896835,0xDA,0x55
"SPI","result",3.68896897,0x00,0x55
"SPI","result",3.6889701,0x00,0xAA
"SPI","result",3.68897072,0x00,0x55
"SPI","result",3.68897255,0xC2,0x55
"SPI","result",3.68897318,0x00,0x55
"SPI","result",3.6889743,0x00,0x0C
"SPI","result",3.68897493,0x00,0x5B
"SPI","result",3.68897745,0x4C,0x5B
"SPI","result",3.68897808,0x00,0x5B
"SPI","result",3.6889792,0x04,0x5B
"SPI","result",3.68897983,0x40,0x5B
"SPI","result",3.688982,0xCD,0x5B
"SPI","result",3.68898262,0x00,0x5B
"SPI","result",3.68898375,0x00,0x00
"SPI","result",3.68898437,0x00,0x00
"SPI","result",3.6889862,0x4D,0x00
"SPI","result",3.68898683,0x00,0x00
"SPI","result",3.68898795,0x00,0x00
"SPI","result",3.68898858,0x47,0x00
"SPI","result",3.75896082,0xC2,0x00
"SPI","result",3.75896145,0x00,0x00
"SPI","result",3.75896257,0x00,0x0C
"SPI","result",3.7589632,0x00,0x5B
"SPI","result",3.7589709,0xC2,0x5B
"SPI","result",3.75897153,0x00,0x5B
"SPI","result",3.75897265,0x00,0x0C
"SPI","result",3.75897327,0x00,0x5B
"SPI","result",3.75897558,0x41,0x5B
"SPI","result",3.7589762,0x00,0x5B
"SPI","result",3.75897733,0x00,0x5B
"SPI","result",3.75897795,0x58,0x5B
"SPI","result",3.75898003,0x00,0x5B
"SPI","result",3.75898065,0x00,0x5B
"SPI","result",3.75898213,0xAA,0x5B
"SPI","result",3.75898275,0xAA,0x5B
"SPI","result",3.75898425,0xAA,0x5B
"SPI","result",3.75898487,0xAA,0x5B
"SPI","result",3.75898635,0x4E,0x5B
"SPI","result",3.75898698,0x00,0x5B
"SPI","result",3.75898845,0x00,0x5B
"SPI","result",3.75898908,0x00,0x5B
"SPI","result",3.75899057,0x33,0x5B
"SPI","result",3.7589912,0x33,0x5B
"SPI","result",3.75899268,0xFF,0x5B
"SPI","result",3.7589933,0xFF,0x5B
"SPI","result",3.75899478,0xD3,0x5B
"SPI","result",3.7589954,0xE2,0x5B
"SPI","result",3.7589969,0xE0,0x5B
"SPI","result",3.75899752,0x0E,0x5B
"SPI","result",3.758999,0xE1,0x5B
"SPI","result",3.75899962,0xFF,0x5B
"SPI","result",3.75900113,0xD3,0x5B
"SPI","result",3.75900175,0xE2,0x5B
"SPI","result",3.75900322,0x86,0x5B
"SPI","result",3.75900385,0xDD,0x5B
"SPI","result",3.75900532,0x60,0x5B
"SPI","result",3.75900595,0x00,0x5B
"SPI","result",3.75900745,0x00,0x5B
"SPI","result",3.75900808,0x00,0x5B
"SPI","result",3.75900955,0x00,0x5B
"SPI","result",3.75901017,0x18,0x5B
"SPI","result",3.75901165,0x3A,0x5B
"SPI","result",3.75901227,0xFF,0x5B
"SPI","result",3.75901378,0x00,0x5B
"SPI","result",3.7590144,0x00,0x5B
"SPI","result",3.75901587,0x00,0x5B
"SPI","result",3.7590165,0x00,0x5B
"SPI","result",3.759018,0x00,0x5B
"SPI","result",3.75901862,0x00,0x5B
"SPI","result",3.7590201,0x00,0x5B
"SPI","result",3.75902073,0x00,0x5B
"SPI","result",3.7590222,0x00,0x5B
"SPI","result",3.75902283,0x00,0x5B
"SPI","result",3.75902432,0x00,0x5B
