Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
148200,0000059E,false,Rx,0,8,00,00,00,00,9B,0E,00,00,
148447,0000050D,false,Rx,0,8,00,00,00,00,00,00,00,00,
148772,00000220,false,Rx,0,7,13,44,82,00,00,AB,0F,00,
149027,00000153,false,Rx,0,8,20,00,10,F2,00,F2,B0,C4,
149274,000002A2,false,Rx,0,8,05,00,00,00,00,00,00,00,
149521,00000331,false,Rx,0,8,00,00,00,00,00,00,00,00,
149693,00000387,false,Rx,0,8,1B,7A,2C,CE,00,91,02,00,
149948,00000394,false,Rx,0,8,12,64,00,00,12,84,13,83,
150120,00000450,false,Rx,0,3,00,26,04,00,00,00,00,00,
150366,00000524,false,Rx,0,8,75,01,00,00,00,00,00,00,
150613,00000462,false,Rx,0,8,E0,2E,A4,16,00,00,00,00,
151096,00000471,false,Rx,0,6,04,00,10,00,00,74,00,00,
151343,000005A3,false,Rx,0,8,4F,00,00,00,00,00,00,00,
151515,000005CA,false,Rx,0,8,00,00,00,5A,FF,50,00,00,
151763,0000010C,false,Rx,0,8,04,00,55,54,15,80,01,39,
152018,000005CB,false,Rx,0,8,00,FF,00,00,00,00,00,00,
152265,000005CC,false,Rx,0,8,00,00,00,00,00,00,00,00,
152515,000005D5,false,Rx,0,8,00,00,00,00,00,00,00,00,
152761,000005D6,false,Rx,0,8,C2,C3,09,00,02,03,00,62,
153169,000005D7,false,Rx,0,8,02,00,00,00,00,00,00,00,
153418,00000109,false,Rx,0,8,00,01,FA,00,00,00,00,0A,
153590,000005D8,false,Rx,0,8,40,A6,03,00,50,00,9B,0E,
154073,000005DC,false,Rx,0,8,00,00,00,00,FE,00,00,00,
154580,000005DE,false,Rx,0,8,00,00,2B,7B,36,2E,36,00,
155017,000005F5,false,Rx,0,8,00,1E,00,14,0C,C9,59,96,
155493,000005F6,false,Rx,0,8,00,00,00,00,00,00,1E,00,
155976,000005F7,false,Rx,0,8,00,1E,00,00,00,58,00,00,
156223,00000200,false,Rx,0,8,00,80,49,04,00,3B,3C,00,
156395,000005F8,false,Rx,0,8,7D,00,E9,0F,CC,7A,60,74,
156643,00000201,false,Rx,0,8,11,00,00,00,00,00,00,11,
156890,000005F9,false,Rx,0,8,86,74,FF,FF,00,00,00,AD,
157373,00000291,false,Rx,0,8,00,00,00,00,FE,FA,FA,00,
157623,00000202,false,Rx,0,8,02,00,20,00,00,00,00,22,
157869,000002B0,false,Rx,0,5,58,00,00,00,00,00,00,00,
158049,00000354,false,Rx,0,8,AA,0A,55,05,00,01,00,7B,
158452,00000523,false,Rx,0,8,0C,38,36,36,2E,2B,00,00,
158699,00000524,false,Rx,0,8,75,01,00,00,00,00,00,00,
158954,00000153,false,Rx,0,8,20,00,10,F2,00,F2,C0,D4,
159201,00000220,false,Rx,0,7,13,44,82,00,00,AB,0F,00,
159450,000002A2,false,Rx,0,8,04,00,00,00,00,00,00,00,
159697,00000331,false,Rx,0,8,00,00,00,00,00,00,00,00,
159952,00000386,false,Rx,0,8,00,C0,00,80,00,40,00,80,
161490,0000010C,false,Rx,0,8,04,00,55,54,15,80,01,06,
163717,00000109,false,Rx,0,8,00,01,FA,00,00,00,00,1B,
163740,00000200,false,Rx,0,8,00,80,49,04,00,7B,3C,00,
163757,00000201,false,Rx,0,8,51,00,00,00,00,00,00,51,
163774,00000202,false,Rx,0,8,22,00,20,00,00,00,00,02,
167332,000002B0,false,Rx,0,5,58,00,00,00,00,00,00,00,
167581,00000291,false,Rx,0,8,00,00,00,00,FE,FA,FA,00,
167827,00000354,false,Rx,0,8,AA,0A,55,05,00,01,00,6C,
168085,00000523,false,Rx,0,8,0C,38,36,36,2E,2B,00,00,
168786,00000220,false,Rx,0,7,13,24,82,00,00,AD,0F,00,
168966,00000153,false,Rx,0,8,20,00,10,F2,00,F2,D0,E4,
169472,000002A2,false,Rx,0,8,05,00,00,00,00,00,00,00,
169984,00000331,false,Rx,0,8,00,00,00,00,00,00,00,00,
170384,00000414,false,Rx,0,8,00,00,00,00,00,00,00,00,
170634,00000387,false,Rx,0,8,1B,7A,2C,CE,00,92,03,00,
170731,00000450,false,Rx,0,3,00,26,04,00,00,00,00,00,
170986,00000394,false,Rx,0,8,11,84,00,00,11,84,13,83,
171232,00000462,false,Rx,0,8,E0,2E,A4,16,00,00,00,00,
171479,00000471,false,Rx,0,6,04,00,10,00,00,78,00,00,
171726,0000010C,false,Rx,0,8,04,00,55,54,15,80,01,17,
171981,000004FE,false,Rx,0,8,FF,FF,7F,FF,FF,00,FF,FF,
172197,00000541,false,Rx,0,8,03,00,40,00,C0,00,00,0C,
172484,00000553,false,Rx,0,8,04,00,00,00,00,00,80,00,
172884,0000055C,false,Rx,0,8,8D,C0,90,9E,FE,1D,01,00,
173139,00000109,false,Rx,0,8,00,01,FA,00,00,00,00,2C,
173386,0000055F,false,Rx,0,8,00,00,00,00,00,00,00,00,
173636,00000200,false,Rx,0,8,00,80,49,04,00,BB,3C,00,
173883,00000561,false,Rx,0,8,00,00,00,00,00,00,00,00,
174072,00000201,false,Rx,0,8,91,00,00,00,00,00,00,91,
174330,00000567,false,Rx,0,8,40,10,09,04,01,00,00,00,
174580,00000202,false,Rx,0,8,42,00,20,00,00,00,00,62,
174827,00000578,false,Rx,0,6,10,00,00,00,00,00,00,00,
175007,00000588,false,Rx,0,8,A4,49,A4,49,00,00,00,00,
175328,000005B3,false,Rx,0,8,40,14,FE,00,00,00,00,00,
175578,000005D0,false,Rx,0,8,B7,D3,12,00,00,00,00,00,
175825,000005D3,false,Rx,0,8,0F,00,00,00,00,00,00,00,
176080,000005D4,false,Rx,0,8,0F,00,00,00,00,00,00,00,
176327,000005DF,false,Rx,0,8,05,1C,01,00,00,00,00,00,
176576,000005EC,false,Rx,0,8,00,00,00,00,00,00,00,00,
177660,00000354,false,Rx,0,8,AA,0A,55,05,00,01,00,5D,
177914,000002B0,false,Rx,0,5,59,00,00,00,00,00,00,00,
178085,00000570,false,Rx,0,8,00,00,4A,00,00,00,00,00,
178787,00000220,false,Rx,0,7,14,04,82,00,00,AE,0F,00,
179041,00000153,false,Rx,0,8,20,00,10,F2,00,F2,E0,F4,
179288,000002A2,false,Rx,0,8,04,00,00,00,00,00,00,00,
179538,00000331,false,Rx,0,8,00,00,00,00,00,00,00,00,
179784,00000386,false,Rx,0,8,00,00,00,C0,00,40,00,80,
179962,00000507,false,Rx,0,4,00,00,00,01,00,00,00,00,
180903,00000291,false,Rx,0,8,00,00,00,00,FE,FA,FA,00,
181150,00000490,false,Rx,0,7,00,00,08,00,00,00,00,00,
181397,00000523,false,Rx,0,8,0C,38,36,36,2E,2B,00,00,
181644,0000010C,false,Rx,0,8,04,00,55,54,15,80,01,28,
181891,00000524,false,Rx,0,8,75,01,00,00,00,00,00,00,
183754,00000109,false,Rx,0,8,00,01,FA,00,00,00,00,3D,
183782,00000200,false,Rx,0,8,00,80,49,04,00,FB,3C,00,
183799,00000201,false,Rx,0,8,D1,00,00,00,00,00,00,D1,
183815,00000202,false,Rx,0,8,62,00,20,00,00,00,00,42,
186177,000005E5,false,Rx,0,8,00,00,00,00,00,00,00,00,
186357,000005E6,false,Rx,0,8,00,F0,00,00,00,00,00,00,
186608,000005E8,false,Rx,0,8,00,00,00,00,00,00,00,00,
186855,000005E9,false,Rx,0,8,00,00,00,00,00,00,00,00,
187264,00000291,false,Rx,0,8,00,00,00,00,FE,FA,FA,00,
187513,000002B0,false,Rx,0,5,58,00,00,00,00,00,00,00,
187685,00000354,false,Rx,0,8,AA,0A,55,05,00,01,00,4E,
187938,00000523,false,Rx,0,8,0C,38,36,36,2E,2B,00,00,
188185,00000524,false,Rx,0,8,75,01,00,00,00,00,00,00,
188585,00000450,false,Rx,0,3,00,26,04,00,00,00,00,00,
188832,00000153,false,Rx,0,8,20,00,10,F2,00,F2,00,14,
189315,00000462,false,Rx,0,8,E0,2E,A4,16,00,00,00,00,
189565,00000220,false,Rx,0,7,14,04,82,00,00,AD,0F,00,
189737,00000471,false,Rx,0,6,04,00,10,00,00,BC,00,00,
189992,000002A2,false,Rx,0,8,05,00,00,00,00,00,00,00,
190239,00000331,false,Rx,0,8,00,00,00,00,00,00,00,00,
190490,00000387,false,Rx,0,8,1B,7A,2C,CE,00,93,04,00,
190737,00000394,false,Rx,0,8,10,A4,00,00,10,84,13,83,
191447,0000010C,false,Rx,0,8,04,00,55,54,15,80,01,39,
192916,00000109,false,Rx,0,8,00,01,FA,00,00,00,00,0A,
193163,00000200,false,Rx,0,8,00,80,49,04,00,3B,3C,00,
193486,00000201,false,Rx,0,8,11,00,00,00,00,00,00,11,
193733,00000202,false,Rx,0,8,02,00,20,00,00,00,00,22,
197027,00000291,false,Rx,0,8,00,00,00,00,FE,FA,FA,00,
197274,00000523,false,Rx,0,8,0C,38,36,36,2E,2B,00,00,
197681,00000354,false,Rx,0,8,AA,0A,55,05,00,01,00,3F,
197936,000002B0,false,Rx,0,5,58,00,00,00,00,00,00,00,
198183,00000524,false,Rx,0,8,75,01,00,00,00,00,00,00,
198808,00000220,false,Rx,0,7,12,04,82,00,00,AC,0F,00,
198988,00000153,false,Rx,0,8,20,00,10,F2,00,F2,10,24,
199234,000002A2,false,Rx,0,8,04,00,00,00,00,00,00,00,
199483,00000331,false,Rx,0,8,00,00,00,00,00,00,00,00,
199730,00000386,false,Rx,0,8,00,40,00,C0,00,40,00,80,
201505,0000010C,false,Rx,0,8,04,00,55,54,15,80,01,06,
203825,00000109,false,Rx,0,8,00,01,FA,00,00,00,00,1B,
203853,00000200,false,Rx,0,8,00,80,49,04,00,7B,3C,00,
203870,00000201,false,Rx,0,8,51,00,00,00,00,00,00,51,
203887,00000202,false,Rx,0,8,22,00,20,00,00,00,00,02,
207435,00000291,false,Rx,0,8,00,00,00,00,FE,FA,FA,00,
207606,000002B0,false,Rx,0,5,58,00,00,00,00,00,00,00,
207853,00000354,false,Rx,0,8,AA,0A,55,05,00,01,00,20,
208108,00000523,false,Rx,0,8,0C,38,36,36,2E,2B,00,00,
